priority,market,organizer,event_slug,listing_url,source_page,status,next_action
1,NYC,Bunna Cafe,leeben-tinos-trio-bunna-september-2026,https://habesha.clarifyops.com/events/leeben-tinos-trio-bunna-september-2026?source=organizer,https://www.bunnaethiopia.net/event-details/the-leeben-tinos-trio-monthly-residency-8,ready_to_contact,Send free listing and claim invitation
2,NYC,Damballa,sounds-of-east-africa-brooklyn-2026,https://habesha.clarifyops.com/events/sounds-of-east-africa-brooklyn-2026?source=organizer,https://dice.fm/event/py296p-sounds-of-east-africa-12th-sep-damballa-brooklyn-tickets?lng=en-US,ready_to_contact,Send listing and ask for future East African events
3,DMV,Ethiopian Community Center in Maryland,ethiopian-day-silver-spring-2026,https://habesha.clarifyops.com/events/ethiopian-day-silver-spring-2026?source=organizer,https://mefthe.com/events/ethiopian-day-2026/,ready_to_contact,Offer corrections and future community listings
4,DMV,Ethiopian Community Support and Advocacy Center,ethiopian-fall-festival-alexandria-2026,https://habesha.clarifyops.com/events/ethiopian-fall-festival-alexandria-2026?source=organizer,https://www.ecsac.org/2026-ethiopian-fall-festival,ready_to_contact,Invite claim and request official flyer
5,NYC,The Neighborhood,gili-yalo-ethiopian-soul-brooklyn-2026,https://habesha.clarifyops.com/events/gili-yalo-ethiopian-soul-brooklyn-2026?source=organizer,https://www.theneighborhoodbk.org/extra-events-details/gili-yalo%3A-ethiopian-soul-in-the-sukkah,ready_to_contact,Send listing and request artist promotion collaboration
6,DMV,Sost,black-gov-tech-cbc-mixer-sost-2026,https://habesha.clarifyops.com/events/black-gov-tech-cbc-mixer-sost-2026?source=organizer,https://www.sostdc.com/sost-event-calendar,ready_to_contact,Ask to list future cultural and professional events
7,DMV,Black Professionals in International Affairs,bpia-global-affairs-forum-dc-2026,https://habesha.clarifyops.com/events/bpia-global-affairs-forum-dc-2026?source=organizer,https://iabpia.org/events,ready_to_contact,Send both BPIA listings and invite recurring submissions
8,DMV,Asha Strategies and Skyward Africa,beyond-boundaries-us-africa-dc-2026,https://habesha.clarifyops.com/events/beyond-boundaries-us-africa-dc-2026?source=organizer,https://skywardafrica.com/beyondboundaries2026/,ready_to_contact,Invite claim and future policy series listings
9,NYC,DESCENDANTS,descendants-afrohouse-silo-2026,https://habesha.clarifyops.com/events/descendants-afrohouse-silo-2026?source=organizer,https://ra.co/events/2515919,ready_to_contact,Share listing and ask about the next NYC date
10,DMV,African Diaspora Events and Travel,african-diaspora-festival-silver-spring-2026,https://habesha.clarifyops.com/events/african-diaspora-festival-silver-spring-2026?source=organizer,https://www.eventbrite.com/e/african-diaspora-festival-tickets-1991515154437,ready_to_contact,Invite claim and vendor or sponsor updates
